County of San Diego,Count,Percentage** of Overall Total
Incorporated City,"1,464",86.5%
Carlsbad,48,2.8%
Chula Vista,163,9.6%
Coronado,5,0.3%
Del Mar,8,0.5%
El Cajon,97,5.7%
Encinitas,33,1.9%
Escondido,46,2.7%
Imperial Beach,10,0.6%
La Mesa,33,1.9%
Lemon Grove,14,0.8%
National City,33,1.9%
Oceanside,36,2.1%
Poway,17,1.0%
San Diego,849,50.1%
San Marcos,22,1.3%
Santee,17,1.0%
Solana Beach,5,0.3%
Vista,28,1.7%
Unincorporated,218,12.9%
Alpine,1,0.1%
Bonita,13,0.8%
Borrego Springs,1,0.1%
Boulevard,1,0.1%
Descanso,1,0.1%
Fallbrook,8,0.5%
Jamul,4,0.2%
Lakeside,14,0.8%
Pauma Valley,2,0.1%
Ramona,10,0.6%
Ranchita,2,0.1%
Rancho Santa Fe,14,0.8%
Spring Valley,42,2.5%
Valley Center,3,0.2%
Other,102,6.0%
Unknown*,11,0.6%
Total San Diego County Residents,"1,693",100.0%
