County of San Diego,Count,Percentage* of Overall Total,"Rate per 100,000 population**"
Incorporated City,"2,393",84.7%,84.7
Carlsbad,50,1.8%,43.6
Chula Vista,346,12.2%,129.3
Coronado,7,0.2%,32.3
Del Mar,11,0.4%,***
El Cajon,161,5.7%,152.5
Encinitas,34,1.2%,53.8
Escondido,80,2.8%,52.8
Imperial Beach,19,0.7%,67.5
La Mesa,68,2.4%,111.0
Lemon Grove,25,0.9%,93.2
National City,84,3.0%,134.9
Oceanside,60,2.1%,33.8
Poway,25,0.9%,49.8
San Diego,"1,318",46.6%,92.8
San Marcos,28,1.0%,29.2
Santee,29,1.0%,50.9
Solana Beach,6,0.2%,43.0
Vista,42,1.5%,40.6
Unincorporated,409,14.5%,79.7
Alpine,4,0.1%,***
Bonita,20,0.7%,159.5
Bonsall,1,0.0%,***
Borrego Springs,1,0.0%,***
Boulevard,2,0.1%,***
Campo,0,0.0%,***
Descanso,1,0.0%,***
Fallbrook,12,0.4%,39.3
Jamul,6,0.2%,***
Julian,2,0.1%,***
Lakeside,22,0.8%,106.5
Pala,2,0.1%,***
Pauma Valley,2,0.1%,***
Potrero,2,0.1%,***
Ramona,14,0.5%,69.0
Ranchita,2,0.1%,***
Rancho Santa Fe,14,0.5%,***
Spring Valley,74,2.6%,262.4
Tecate,1,0.0%,***
Valley Center,5,0.2%,***
Other,222,7.9%,
Unknown****,24,0.8%,
Total San Diego County,"2,826",100.0%,84.7
