County of San Diego,Count,Percentage* of Total,"Rate per 100,000 population**"
Incorporated City,"2,993",85.0%,106.0
Carlsbad,54,1.5%,47.1
Chula Vista,460,13.1%,172.0
Coronado,8,0.2%,36.9
Del Mar,12,0.3%,***
El Cajon,194,5.5%,183.8
Encinitas,34,1.0%,53.8
Escondido,109,3.1%,72.0
Imperial Beach,26,0.7%,92.3
La Mesa,74,2.1%,120.8
Lemon Grove,36,1.0%,134.2
National City,135,3.8%,216.8
Oceanside,74,2.1%,41.7
Poway,32,0.9%,63.7
San Diego,"1,620",46.0%,114.1
San Marcos,31,0.9%,32.4
Santee,35,1.0%,61.4
Solana Beach,6,0.2%,43.0
Vista,53,1.5%,51.3
Unincorporated,530,15.0%,103.3
Alpine,4,0.1%,***
Bonita,26,0.7%,207.4
Bonsall,2,0.1%,***
Borrego Springs,2,0.1%,***
Boulevard,2,0.1%,***
Campo,0,0.0%,***
Descanso,1,0.0%,***
Fallbrook,14,0.4%,45.9
Jamul,7,0.2%,***
Julian,2,0.1%,***
Lakeside,29,0.8%,140.4
Pala,2,0.1%,***
Pauma Valley,1,0.0%,***
Potrero,2,0.1%,***
Ramona,17,0.5%,83.8
Ranchita,2,0.1%,***
Rancho Santa Fe,13,0.4%,***
Santa Ysabel,1,0.0%,***
Spring Valley,99,2.8%,351.0
Tecate,1,0.0%,***
Valley Center,6,0.2%,***
Other,297,8.4%,
Unknown****,41,,
Total San Diego County,"3,564",100.0%,106.8
