Zip Code,Case Count
91901,1
91902,10
91909,1
91910,28
91911,24
91913,21
91914,3
91915,8
91916,1
91932,3
91935,1
91941,8
91942,12
91945,13
91950,18
91977,24
91978,3
92004,1
92007,4
92008,8
92009,16
92010,9
92011,6
92014,12
92019,26
92020,39
92021,28
92024,23
92025,12
92026,7
92027,6
92028,6
92029,9
92037,31
92039,1
92040,9
92054,8
92056,11
92057,7
92058,5
92061,2
92064,13
92065,7
92066,2
92067,12
92069,7
92071,14
92075,4
92078,11
92081,10
92082,3
92083,2
92084,10
92085,1
92091,2
92093,4
92101,29
92102,14
92103,65
92104,34
92105,29
92106,9
92107,3
92108,14
92109,24
92110,15
92111,15
92113,29
92114,24
92115,21
92116,31
92117,19
92118,4
92119,6
92120,16
92121,3
92122,13
92123,16
92124,11
92126,22
92127,19
92128,25
92129,18
92130,21
92131,6
92136,2
92139,18
92145,1
92154,28
92161,2
92168,1
92173,12
92196,1
TOTAL,1209
