Zip Code,Count
91901,2
91902,17
91905,1
91906,1
91910,66
91911,80
91913,39
91914,14
91915,25
91916,1
91932,12
91935,6
91941,14
91942,33
91945,18
91950,58
91963,1
91977,48
91978,6
92003,1
92004,1
92007,4
92008,9
92009,18
92010,13
92011,10
92014,16
92019,50
92020,66
92021,67
92024,30
92025,24
92026,11
92027,27
92028,9
92029,13
92037,34
92040,15
92054,12
92056,14
92057,14
92058,10
92061,2
92064,19
92065,11
92066,2
92067,12
92069,12
92071,21
92075,5
92078,17
92081,13
92082,4
92083,10
92084,15
92091,2
92093,4
92101,42
92102,24
92103,75
92104,44
92105,58
92106,9
92107,5
92108,26
92109,29
92110,23
92111,24
92113,56
92114,57
92115,39
92116,39
92117,24
92118,6
92119,12
92120,21
92121,3
92122,16
92123,18
92124,15
92126,37
92127,24
92128,36
92129,20
92130,25
92131,10
92136,3
92139,33
92140,11
92154,86
92161,2
92173,39
Unknown,37
Total,2087
