Zip Code,Count,"Rate per 100,000"
91901,4,*
91902,24,138.
91905,2,*
91910,107,129.
91911,135,159.
91913,65,131.
91914,15,87.
91915,39,130.
91916,1,*
91932,20,71.
91935,6,*
91941,20,58.
91942,54,134.
91945,26,96.
91950,103,175.
91963,2,*
91977,69,113.
91978,8,*
91980,1,*
92003,1,*
92004,1,*
92007,4,*
92008,9,30.
92009,18,41.
92010,13,79.
92011,10,41.
92014,16,116.
92019,57,128.
92020,95,153.
92021,93,136.
92024,30,53.
92025,34,66.
92026,18,32.
92027,33,61.
92028,11,22.
92029,14,68.
92036,2,*
92037,34,79.
92040,22,50.
92054,16,38.
92056,14,25.
92057,23,40.
92058,15,61.
92059,2,*
92061,1,*
92064,26,51.
92065,14,39.
92066,2,*
92067,12,*
92069,14,28.
92071,28,49.
92075,5,38.
92078,17,34.
92081,16,48.
92082,5,28.
92083,13,32.
92084,24,48.
92091,2,*
92093,4,*
92101,50,85.
92102,43,100.
92103,81,208.
92104,50,96.
92105,79,116.
92106,9,40.
92107,9,29.
92108,35,127.
92109,32,59.
92110,32,106.
92111,28,58.
92113,82,162.
92114,84,142.
92115,49,78.
92116,43,116.
92117,32,61.
92118,7,39.
92119,17,71.
92120,23,79.
92121,3,*
92122,21,43.
92123,24,73.
92124,16,51.
92126,55,71.
92127,37,74.
92128,43,84.
92129,25,47.
92130,30,50.
92131,11,30.
92134,1,*
92136,4,*
92139,48,144.
92140,14,*
92145,3,*
92154,232,284.
92173,83,299.
Unknown***,39,*
San Diego County Total,"2,943",88.
