Zip Code,Count,"Rate per 100,000*"
91901,4,**
91902,28,161.2
91905,2,**
91910,120,145.1
91911,164,193.8
91913,74,149.4
91914,16,93.7
91915,44,147.7
91916,1,**
91932,24,85.2
91935,7,**
91941,21,61.2
91942,57,141.9
91945,33,123.0
91950,122,208.2
91963,2,**
91977,79,129.4
91978,9,**
91980,1,**
92003,2,**
92004,1,**
92007,4,**
92008,10,34.0
92009,18,41.5
92010,13,79.7
92011,10,41.9
92014,17,123.3
92019,58,130.9
92020,101,163.3
92021,111,163.4
92024,30,53.1
92025,40,77.7
92026,20,35.8
92027,37,69.0
92028,13,26.9
92029,14,68.4
92036,2,**
92037,35,82.2
92040,22,50.0
92054,16,38.1
92056,14,25.7
92057,27,48.0
92058,15,61.2
92059,2,**
92061,1,**
92064,31,61.6
92065,16,44.9
92066,2,**
92067,12,**
92069,14,28.1
92070,1,**
92071,29,51.0
92075,5,38.4
92078,19,38.1
92081,17,51.8
92082,5,28.7
92083,16,40.0
92084,25,50.7
92091,2,**
92093,4,**
92101,55,93.8
92102,51,118.7
92103,85,218.6
92104,51,98.0
92105,86,126.4
92106,9,40.9
92107,9,29.3
92108,38,138.5
92109,34,63.3
92110,33,110.3
92111,28,58.0
92113,99,196.2
92114,89,151.3
92115,56,90.0
92116,44,119.1
92117,33,63.5
92118,8,44.6
92119,18,75.8
92120,23,79.3
92121,3,**
92122,21,43.3
92123,26,79.0
92124,16,51.3
92126,61,79.6
92127,41,82.7
92128,46,90.8
92129,28,53.3
92130,31,52.2
92131,13,36.2
92134,1,**
92136,4,**
92139,54,163.1
92140,20,**
92145,4,**
92154,306,374.8
92173,98,353.3
Unknown***,53,**
San Diego County Total,"3,314",99.3
