County of San Diego,Count,Percentage** of Overall Total
Incorporated City,313,91.8%
Carlsbad,15,4.4%
Chula Vista,17,5.0%
Del Mar,5,1.5%
El Cajon,19,5.6%
Encinitas,12,3.5%
Escondido,7,2.1%
La Mesa,1,0.3%
Lemon Grove,1,0.3%
National City,6,1.8%
Oceanside,8,2.3%
Poway,4,1.2%
San Diego,207,60.7%
San Marcos,3,0.9%
Santee,2,0.6%
Solana Beach,1,0.3%
Vista,5,1.5%
Unincorporated,16,4.7%
Bonita,1,0.3%
Fallbrook,2,0.6%
Lakeside,2,0.6%
Ramona,2,0.6%
Rancho Santa Fe,5,1.5%
Spring Valley,4,1.2%
Unknown*,12,3.5%
Total San Diego County Residents,341,100.0%
